"","timestamp","value","cluster"
"77659",2019-03-20 12:11:10,385,"2"
"72793",2019-03-16 13:48:56,7292,"7"
"97302",2019-04-02 15:43:27,660,"6"
"72643",2019-03-16 09:05:09,7062,"7"
"84889",2019-03-23 17:24:40,7063,"4"
"84228",2019-03-23 03:51:20,7619,"4"
"81198",2019-03-21 00:24:09,397,"2"
"92291",2019-03-29 22:47:14,6924,"1"
"93544",2019-03-31 00:56:34,680,"6"
"85246",2019-03-24 00:31:27,7179,"7"
"77056",2019-03-19 18:46:06,397,"2"
"91859",2019-03-29 13:27:58,6998,"1"
"73632",2019-03-17 01:33:59,4035,"5"
"72320",2019-03-16 00:56:21,7123,"4"
"86358",2019-03-25 01:28:21,7430,"3"
"102464",2019-04-06 17:22:27,7442,"3"
"72935",2019-03-16 18:21:00,6580,"5"
"77523",2019-03-20 11:39:22,408,"6"
"63242",2019-03-08 18:39:08,7318,"7"
"94964",2019-04-01 00:07:03,7222,"3"
"65916",2019-03-11 07:42:39,7828,"5"
"102641",2019-04-06 20:48:07,7056,"3"
"73284",2019-03-17 00:09:30,667,"2"
"75488",2019-03-18 11:48:38,585,"4"
"63075",2019-03-08 15:01:04,7426,"7"
"71638",2019-03-15 11:08:25,7632,"4"
"80186",2019-03-20 18:42:01,385,"6"
"88660",2019-03-26 16:44:25,7242,"1"
"79608",2019-03-20 16:54:55,408,"2"
"85899",2019-03-24 14:41:55,6692,"1"
"83055",2019-03-22 02:20:09,7621,"4"
"79440",2019-03-20 16:26:59,397,"2"
"85853",2019-03-24 13:27:18,7110,"1"
"92304",2019-03-29 22:58:51,6877,"4"
"68668",2019-03-13 19:56:46,7433,"5"
"81230",2019-03-21 00:29:50,385,"6"
"64536",2019-03-10 00:52:59,7785,"7"
"102524",2019-04-06 18:39:09,7445,"3"
"96115",2019-04-01 23:00:47,7046,"4"
"77569",2019-03-20 11:46:42,397,"2"
"89359",2019-03-27 05:26:08,6618,"1"
"75264",2019-03-18 10:50:37,861,"2"
"100511",2019-04-04 19:00:45,7186,"1"
"101911",2019-04-06 03:45:03,7307,"4"
"100211",2019-04-04 10:48:05,6638,"4"
"98792",2019-04-02 23:11:21,6944,"4"
"71690",2019-03-15 12:02:49,6840,"5"
"100367",2019-04-04 14:31:21,7265,"3"
"66631",2019-03-12 01:48:15,7587,"5"
"91941",2019-03-29 15:20:12,7318,"3"
"102008",2019-04-06 06:52:06,7167,"4"
"102656",2019-04-06 21:05:03,6829,"4"
"74668",2019-03-18 01:21:05,6860,"5"
"97532",2019-04-02 16:02:03,653,"6"
"101517",2019-04-05 19:51:00,7983,"1"
"67464",2019-03-12 21:37:21,7085,"5"
"95703",2019-04-01 14:24:20,7226,"3"
"99393",2019-04-03 13:15:58,7249,"4"
"89498",2019-03-27 07:58:58,6856,"4"
"70466",2019-03-15 03:45:30,653,"2"
"73381",2019-03-17 00:29:54,667,"4"
"71453",2019-03-15 08:22:42,2459,"4"
"92758",2019-03-30 09:20:36,6979,"1"
"96834",2019-04-02 14:37:42,7489,"4"
"68978",2019-03-14 02:49:56,7829,"5"
"93752",2019-03-31 03:31:45,1217,"6"
"96448",2019-04-02 06:22:58,7134,"1"
"93341",2019-03-30 21:49:40,3949,"4"
"87644",2019-03-25 15:37:14,6540,"4"
"78530",2019-03-20 14:20:20,397,"2"
"91849",2019-03-29 13:22:14,7194,"1"
"80355",2019-03-20 19:34:41,408,"2"
"64683",2019-03-10 03:55:50,7203,"7"
"87753",2019-03-25 19:14:25,6475,"3"
"75612",2019-03-18 12:01:18,430,"2"
"65938",2019-03-11 08:07:11,7672,"7"
"102332",2019-04-06 14:42:17,7231,"3"
"68133",2019-03-13 10:05:44,7317,"5"
"79765",2019-03-20 17:29:55,408,"6"
"89045",2019-03-26 23:50:39,6338,"1"
"86360",2019-03-25 01:28:37,7250,"4"
"67100",2019-03-12 13:09:14,7183,"5"
"97450",2019-04-02 15:55:03,674,"6"
"84472",2019-03-23 09:37:17,7271,"7"
"81918",2019-03-21 07:41:25,4993,"4"
"78654",2019-03-20 14:42:33,385,"2"
"80848",2019-03-20 20:58:11,419,"4"
"88941",2019-03-26 22:34:33,6711,"1"
"99744",2019-04-03 23:38:11,7187,"3"
"74225",2019-03-17 12:29:21,7403,"5"
"65035",2019-03-10 11:48:13,7374,"4"
"74884",2019-03-18 07:07:34,6877,"3"
"91793",2019-03-29 12:21:41,7315,"3"
"86940",2019-03-25 13:16:56,3200,"2"
"98724",2019-04-02 21:30:16,7659,"1"
"71639",2019-03-15 11:08:41,7547,"5"
"76721",2019-03-19 15:36:40,441,"6"
"85028",2019-03-23 20:19:31,7342,"1"
"89078",2019-03-27 00:08:52,6181,"4"
"63508",2019-03-09 00:10:33,7459,"5"
"82001",2019-03-21 09:26:26,5218,"3"
"87962",2019-03-26 00:41:18,6740,"4"
"96517",2019-04-02 07:31:19,7138,"4"
"93982",2019-03-31 04:20:25,5346,"4"
"98563",2019-04-02 19:01:06,7113,"4"
"89709",2019-03-27 12:24:14,7192,"4"
"69086",2019-03-14 04:53:41,7369,"5"
"84205",2019-03-23 03:10:32,7714,"3"
"82891",2019-03-21 23:57:03,7670,"4"
"66645",2019-03-12 02:15:04,7441,"5"
"89940",2019-03-27 18:21:03,7011,"3"
"77687",2019-03-20 12:18:54,397,"2"
"73387",2019-03-17 00:32:30,674,"4"
"90420",2019-03-28 06:47:42,6960,"1"
"67015",2019-03-12 10:58:39,7570,"5"
"72554",2019-03-16 06:29:42,7773,"4"
"78797",2019-03-20 15:01:57,385,"6"
"89356",2019-03-27 05:23:31,6379,"1"
"77118",2019-03-19 20:31:41,536,"2"
"94352",2019-03-31 10:15:14,6903,"1"
"71159",2019-03-15 04:59:59,714,"2"
"75472",2019-03-18 11:43:34,527,"4"
"63440",2019-03-08 23:11:44,7231,"7"
"103150",2019-04-07 09:41:02,7351,"3"
"62460",2019-03-07 23:40:31,7420,"5"
"67549",2019-03-12 23:21:30,7396,"4"
"84483",2019-03-23 09:53:42,7386,"3"
"90706",2019-03-28 12:46:12,6866,"4"
"94137",2019-03-31 06:44:59,5640,"4"
"67773",2019-03-13 03:57:51,7217,"5"
"77367",2019-03-20 08:43:35,272,"6"
"98818",2019-04-02 23:40:58,7234,"1"
"75520",2019-03-18 11:52:18,536,"2"
"98597",2019-04-02 19:22:18,6765,"1"
"82216",2019-03-21 13:33:22,5864,"5"
"79801",2019-03-20 17:32:43,419,"2"
"86404",2019-03-25 02:25:46,7434,"1"
"92012",2019-03-29 17:31:26,7048,"4"
"89855",2019-03-27 16:27:14,6931,"4"
