Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
101,0.188111111,23.32,8.99,15.98,6.99,11.56,1.84,11.33
102,0.188111111,22.51,8.99,15.98,6.98,11.47,1.79,11.27
103,0.124893611,22.36,8.99,16.18,7.18,11.49,1.79,11.27
104,0.133078611,21.57,8.99,16.18,7.18,11.44,1.76,11.23
105,0.133078611,21.83,8.98,16.18,7.2,11.46,1.77,11.23
106,0.133078611,22.96,8.98,16.18,7.2,11.57,1.8,11.4
107,0.142437222,23.32,8.98,16.27,7.29,11.59,1.82,11.42
108,0.151248056,23.88,8.97,16.28,7.31,11.63,1.88,11.44
109,0.187376667,24.14,8.97,16.28,7.31,11.71,1.92,11.53
110,0.187376667,23.57,8.97,16.28,7.31,11.71,1.94,11.53
111,0.187376667,22.7,8.97,16.28,7.31,11.73,1.94,11.56
112,0.187376667,21.91,9.03,16.22,7.19,11.78,1.93,11.6
113,0.159355556,21,9.03,16.16,7.13,11.75,1.92,11.52
114,0.159355556,20.82,9.04,16.38,7.35,11.76,1.93,11.51
115,0.160678889,20.77,9.02,16.38,7.36,11.8,1.96,11.56
116,0.160678889,20.37,9.02,16.38,7.36,11.86,1.99,11.69
117,0.160678889,20.42,9.02,16.38,7.37,11.92,2.01,11.74
118,0.160678889,19.86,9.02,16.29,7.28,11.99,2,11.86
119,0.1526675,19.93,9.01,16.29,7.28,11.94,1.96,11.81
120,0.1526675,21.24,9.01,16.29,7.28,11.8,1.92,11.62
121,0.212177778,22.56,8.99,16.27,7.28,11.67,1.92,11.44
122,0.212177778,22.59,8.97,16.27,7.3,11.56,1.89,11.24
123,0.212177778,22.71,8.97,16.33,7.36,11.5,1.9,11.11
124,0.212177778,21.59,8.97,16.33,7.36,11.56,1.9,11.26
125,0.146374167,20.57,8.97,16.33,7.36,11.63,1.84,11.4
126,0.149364722,20.47,8.97,16.33,7.36,11.66,1.85,11.47
127,0.149364722,20.24,8.97,16.04,7.06,11.75,1.85,11.61
128,0.149364722,20.42,8.97,16.04,7.06,11.7,1.86,11.57
129,0.150969444,20.23,8.97,16.32,7.34,11.73,1.9,11.61
130,0.160388889,20.17,8.97,16.4,7.42,11.75,1.89,11.6
131,0.169330556,20.52,8.97,16.4,7.42,11.67,1.87,11.5
132,0.169330556,21.13,8.98,16.4,7.42,11.58,1.85,11.34
133,0.174170278,21.02,8.98,16.4,7.42,11.65,1.89,11.39
