"Name","Length"
"T12_100_R734.H5",1
"T12_100_R738.H5",1
"T12_100_R742.H5",1
"T12_100_R746.H5",1
"T12_100_R750.H5",1
"T12_100_R754.H5",423
"T12_100_R758.H5",1
"T12_100_R774.H5",1
"T12_100_R778.H5",1
"T12_100_R782.H5",1
"T12_100_R786.H5",1
"T12_100_R790.H5",1
"T12_100_R794.H5",1
"T12_100_R798.H5",1
"T12_100_R802.H5",1
"T12_100_R806.H5",6106
"T12_100_R810.H5",618
"T12_100_R814.H5",1075
"T12_1000_R004.H5",6649
"T12_1000_R016.H5",9431
"T12_1000_R020.H5",7486
"T12_1000_R032.H5",1
"T12_1000_R036.H5",1
"T12_1000_R048.H5",1
"T12_1000_R052.H5",1
"T12_1000_R056.H5",1
"T12_1000_R076.H5",6749
"T12_1000_R080.H5",1717
"T12_1000_R084.H5",1
"T12_1000_R088.H5",1
"T12_1000_R120.H5",1030
"T12_1000_R124.H5",1351
"T12_1000_R128.H5",1008
"T12_1000_R140.H5",8718
"T12_1000_R152.H5",1
"T12_1000_R156.H5",1
"T12_1000_R160.H5",1
"T12_1000_R184.H5",1084
"T12_1000_R188.H5",1
"T12_1000_R192.H5",1
"T12_1000_R196.H5",1
"T12_1000_R200.H5",207
"T12_1000_R204.H5",408
"T12_1000_R208.H5",6106
"T13_100_R306.H5",1
"T13_100_R310.H5",1
"T13_100_R314.H5",1
"T13_100_R318.H5",1
"T13_100_R322.H5",1
"T13_100_R326.H5",1
"T13_100_R330.H5",1
"T13_100_R334.H5",1
"T13_100_R338.H5",1
"T13_100_R342.H5",1
"T13_100_R346.H5",1
"T13_100_R358.H5",1
"T13_100_R362.H5",1
"T13_100_R366.H5",1
"T13_100_R370.H5",1
"T13_100_R374.H5",1
"T13_100_R378.H5",1
"T13_100_R382.H5",1
"T13_100_R386.H5",1
"T13_100_R390.H5",1
"T13_100_R394.H5",1
"T13_100_R398.H5",1
"T13_100_R722.H5",1
"T13_100_R726.H5",1
"T13_100_R730.H5",1
"T13_100_R734.H5",1
"T13_100_R738.H5",1
"T13_100_R742.H5",1
"T13_100_R746.H5",1
"T13_100_R750.H5",1
"T13_100_R754.H5",1
"T13_100_R758.H5",1
"T13_100_R762.H5",1
"T13_100_R774.H5",1
"T13_100_R778.H5",1
"T13_100_R782.H5",1
"T13_100_R786.H5",1
"T13_100_R790.H5",1
"T13_100_R794.H5",1
"T13_100_R798.H5",1
"T13_100_R802.H5",1
"T13_100_R806.H5",1
"T13_100_R810.H5",1
"T13_100_R814.H5",1
"T13_1000_R000.H5",1
"T13_1000_R004.H5",1
"T13_1000_R008.H5",1
"T13_1000_R020.H5",1
"T13_1000_R024.H5",1
"T13_1000_R028.H5",1
"T13_1000_R040.H5",1
"T13_1000_R044.H5",1
"T13_1000_R048.H5",1
"T13_1000_R052.H5",4714
"T13_1000_R060.H5",1
"T13_1000_R064.H5",1
"T13_1000_R068.H5",1
"T13_1000_R072.H5",1
"T13_1000_R076.H5",1
"T13_1000_R080.H5",1
"T13_1000_R084.H5",1
"T13_1000_R088.H5",1
"T13_1000_R092.H5",1
"T13_1000_R096.H5",1
"T13_1000_R100.H5",1
"T13_1000_R104.H5",1
"T13_1000_R108.H5",1
"T13_1000_R112.H5",1
"T13_1000_R116.H5",1
"T13_1000_R120.H5",1
"T13_1000_R124.H5",1
"T13_1000_R128.H5",1
"T13_1000_R132.H5",1
"T13_1000_R136.H5",1
"T13_1000_R140.H5",1
"T13_1000_R144.H5",1
"T13_1000_R148.H5",1
"T13_1000_R152.H5",1
"T13_1000_R156.H5",1
"T13_1000_R160.H5",1
"T13_1000_R164.H5",1
"T13_1000_R168.H5",1
"T13_1000_R172.H5",1
"T13_1000_R176.H5",1
"T13_1000_R180.H5",1
"T13_1000_R184.H5",1
"T13_1000_R188.H5",1
"T13_1000_R192.H5",1
"T13_1000_R196.H5",1
"T13_1000_R200.H5",1
"T13_1000_R204.H5",1
"T13_1000_R208.H5",1
"T13_210_R002.H5",1
"T13_350_R000.H5",1
"T13_350_R008.H5",1
"T13_350_R022.H5",1
"T13_350_R026.H5",1
"T13_350_R030.H5",1
"T13_350_R034.H5",1
"T13_350_R038.H5",1
"T13_350_R042.H5",1
"T13_350_R046.H5",1
"T13_350_R050.H5",1
"T13_350_R056.H5",1
"T13_350_R060.H5",1
"T13_350_R064.H5",1
"T13_350_R068.H5",1
"T13_350_R104.H5",1
"T13_350_R108.H5",1
"T13_350_R112.H5",1
"T13_350_R116.H5",1
"T13_350_R122.H5",1
"T13_350_R126.H5",1
"T13_350_R130.H5",1
"T13_350_R134.H5",1
"T13_350_R142.H5",1
"T13_350_R150.H5",1
"T13_350_R154.H5",1
"T13_350_R158.H5",1
"T13_350_R162.H5",1
"T13_350_R174.H5",1
"T13_350_R178.H5",1
"T13_350_R184.H5",1
"T13_350_R192.H5",1
"T13_350_R196.H5",1
"T13_350_R200.H5",1
"T13_350_R216.H5",1
"T13_350_R222.H5",1
"T13_350_R226.H5",1
"T13_350_R232.H5",1
"T13_350_R236.H5",1
"T13_350_R240.H5",1
"T13_350_R244.H5",1
"T13_350_R302.H5",1
"T13_350_R306.H5",1
"T13_350_R310.H5",1
"T13_350_R314.H5",1
"T13_350_R318.H5",1
"T13_350_R322.H5",1
"T13_350_R328.H5",1
"T13_350_R334.H5",1
"T13_350_R338.H5",1
"T13_350_R342.H5",1
"T13_350_R346.H5",1
"T13_350_R350.H5",1
"T13_350_R354.H5",1
"T13_350_R358.H5",1
"T13_350_R362.H5",1
"T13_350_R368.H5",1
"T13_350_R374.H5",1
"T13_350_R378.H5",1
